GRP,MD0.1,MD0.2,MD0.3,MD0.4,FD0.1,FD0.2,FD0.3,FD0.4,MD7.1,MD7.2,MD7.3,MD7.4,FD7.1,FD7.2,FD7.3,FD7.4,MD14.1,MD14.2,MD14.3,MD14.4,FD14.1,FD14.2,FD14.3,FD14.4,MD21.1,MD21.2,MD21.3,MD21.4,FD21.1,FD21.2,FD21.3,FD21.4
CAT,115.65,123.98,91.08,110.2366667,116.64,120.93,157.15,121,213.02,250,260,237.5333333,117.4,172.29,214,167.8966667,305,283.56,400,356.31,374,306,317,332.3333333,222,261.56,297.61,260.39,497,498,475.03,490.01
POD,813,364,189,455.3333333,925.3,835.58,810.81,857.23,3000,3001,3800,3332.88,3185,3533,3429.89,3382.63,530.99,560.67,620,570.5533333,2977.99,2179.52,2689.39,2615.633333,223.78,439.08,500,387.62,3000,1993.98,2567.91,3162.793333
SOD,137.32,137,153,142.44,110,127,150,129,300,248,271,288.2,198,200,223,264.32,115.57,107.45,133,118.6733333,240.1,245.55,214.11,233.2533333,200.31,160.38,151,170.5633333,310.83,329.67,362.26,334.2533333
MDA,14.29,15.8,9.33,13.14,9.29,9.47,10.25,9.67,14.89,14,12.86,13.91666667,9.54,13.57,18.1,13.73666667,25,19.84,19.7,21.51333333,21.05,24.75,23,22.93333333,5.85,7.59,4.05,5.83,23.1,21.57,21.26,21.97666667
GSH,1727.68,1873.12,1533.41,1711.403333,1227.79,1533.26,1409.6,1390.216667,2786.45,2221.33,2541.54,2516.44,1846.69,2508.8,2114.11,2156.533333,2376.97,1862,1702.85,1600,1501.04,865.28,955.11,1107.143333,1634.4,1800,1584.1,1754.84,1199.37,1238.99,1509.95,1316.103333
GSSG,168,164,179.18,170.3933333,147,192,172,170.3333333,411,421,345,392.3333333,258,242,256,252,540,553,551,548,136.42,259,225,206.8066667,539,353,381.44,424.48,232.97,295,201.95,243.3066667
PRO,45,43.76,35.13,41.29666667,36.71,33.62,44.27,38.2,74.52,79.93,81.83,78.76,12.96,28,21.63,23.72666667,63.07,53.43,56.07,57.52333333,75.51,85.99,82.55,81.35,45.88,54.97,27.42,42.75666667,20.31,28.3,31.24,26.61666667
GR,0.3988,0.3452,0.3338,0.359266667,0.175,0.1535,0.1942,0.174233333,0.2448,0.1162,0.2312,0.1974,0.1387,0.1451,0.117,0.1336,0.112,0.1976,0.2452,0.184933333,0.0707,0.117,0.1833,0.123666667,0.0337,0.03,0.0193,0.027666667,0.0362,0.0398,0.0963,0.057433333
H2O2,8.64,8.56,8.48,8.56,9.68,8.66,6.72,8.353333333,7.31,8.69,9.2,8.4,36.13,31.58,28.7,32.13666667,19.13,20.34,19.34,19.60333333,19.18,14.34,13.38,15.63333333,4.13,5,7.96,5.696666667,7.63,7.69,9.88,8.4
H/S,10.2838,11.4215,8.5579,10.08773333,8.3523,7.9857,8.1953,8.177766667,6.7797,5.2763,7.3668,6.474266667,7.1577,8,8.2582,8.594266667,4.4018,3.3671,3.0905,3.6198,4,3.3408,4.2449,6.196266667,3.0323,5.7961,4.1529,4.3271,5.1482,4.2,7.4769,5.608366667
